atm_name,transaction_date,No_Of_Withdrawals,no_of_cub_card_withdrawals,no_of_other_card_withdrawals,total_amount_withdrawn,amount_withdrawn_cub_card,amount_withdrawn_other_card,weekday,working_day
Big Street ATM,11/05/2016,100,38,62,420600,267000,153600,wednesday,W
Mount Road ATM,11/05/2016,56,28,28,251700,190100,61600,wednesday,W
Airport ATM,11/05/2016,67,51,16,365900,318700,47200,wednesday,W
KK Nagar ATM,11/05/2016,73,49,24,422800,290300,132500,wednesday,W
Christ College ATM,11/05/2016,187,57,130,867800,385100,482700,wednesday,W
Big Street ATM,12/05/2016,113,46,67,319200,195000,124200,thursday,W
Mount Road ATM,12/05/2016,5,2,3,1900,1200,700,thursday,W
Airport ATM,12/05/2016,68,46,22,322400,265700,56700,thursday,W
KK Nagar ATM,12/05/2016,32,29,3,189400,182300,7100,thursday,W
Christ College ATM,12/05/2016,151,57,94,600500,308600,291900,thursday,W
Big Street ATM,13/05/2016,106,31,75,350300,109600,240700,friday,W
Mount Road ATM,13/05/2016,26,21,5,94600,85900,8700,friday,W
Airport ATM,13/05/2016,34,26,8,184600,161100,23500,friday,W
KK Nagar ATM,13/05/2016,52,41,11,262000,197600,64400,friday,W
Christ College ATM,13/05/2016,152,59,93,602200,319600,282600,friday,W
Big Street ATM,14/05/2016,110,31,79,426100,166000,260100,saturday,H
Mount Road ATM,14/05/2016,23,7,16,81600,23500,58100,saturday,H
Airport ATM,14/05/2016,14,14,0,80300,80300,0,saturday,H
KK Nagar ATM,14/05/2016,67,51,16,409800,355600,54200,saturday,H
Christ College ATM,14/05/2016,90,36,54,388300,174400,213900,saturday,H
Big Street ATM,15/05/2016,86,22,64,243900,104000,139900,sunday,H
KK Nagar ATM,15/05/2016,151,112,39,601500,468400,133100,sunday,H
Big Street ATM,16/05/2016,124,45,79,439100,199700,239400,monday,W
KK Nagar ATM,16/05/2016,134,90,44,546000,305200,240800,monday,W
Big Street ATM,17/05/2016,124,57,67,452900,361900,91000,tuesday,W
Airport ATM,17/05/2016,8,6,2,51700,48700,3000,tuesday,W
KK Nagar ATM,17/05/2016,130,96,34,603100,488000,115100,tuesday,W
Christ College ATM,17/05/2016,93,38,55,374800,188300,186500,tuesday,W
Big Street ATM,18/05/2016,100,28,72,376700,133400,243300,wednesday,W
Mount Road ATM,18/05/2016,18,11,7,18600,13400,5200,wednesday,W
Airport ATM,18/05/2016,35,27,8,218300,187800,30500,wednesday,W
KK Nagar ATM,18/05/2016,143,112,31,888300,755400,132900,wednesday,W
Christ College ATM,18/05/2016,134,52,82,553800,246600,307200,wednesday,W
Big Street ATM,19/05/2016,129,39,90,413500,125900,287600,thursday,W
Mount Road ATM,19/05/2016,2,0,2,1200,0,1200,thursday,W
Airport ATM,19/05/2016,13,10,3,83800,71300,12500,thursday,W
KK Nagar ATM,19/05/2016,69,46,23,210100,111800,98300,thursday,W
Christ College ATM,19/05/2016,124,47,77,652900,323300,329600,thursday,W
Big Street ATM,20/05/2016,154,48,106,597600,246600,351000,friday,W
Mount Road ATM,20/05/2016,22,10,12,55600,37700,17900,friday,W
Airport ATM,20/05/2016,28,24,4,115300,100800,14500,friday,W
KK Nagar ATM,20/05/2016,99,69,30,599700,488900,110800,friday,W
Christ College ATM,20/05/2016,144,48,96,607800,308300,299500,friday,W
Mount Road ATM,21/05/2016,8,6,2,5900,4900,1000,saturday,H
Airport ATM,21/05/2016,38,28,10,198200,183100,15100,saturday,H
KK Nagar ATM,21/05/2016,137,115,22,797600,708500,89100,saturday,H
Christ College ATM,21/05/2016,164,47,117,667700,201200,466500,saturday,H
Big Street ATM,22/05/2016,51,16,35,209700,117600,92100,sunday,H
Mount Road ATM,22/05/2016,1,0,1,1000,0,1000,sunday,H
Airport ATM,22/05/2016,15,13,2,90500,80000,10500,sunday,H
KK Nagar ATM,22/05/2016,106,79,27,421300,333500,87800,sunday,H
Christ College ATM,22/05/2016,53,10,43,225800,33200,192600,sunday,H
Big Street ATM,23/05/2016,89,28,61,342000,178900,163100,monday,W
Mount Road ATM,23/05/2016,36,14,22,87500,41500,46000,monday,W
KK Nagar ATM,23/05/2016,121,89,32,793400,628300,165100,monday,W
Christ College ATM,23/05/2016,48,26,22,207900,145600,62300,monday,W
Big Street ATM,24/05/2016,85,37,48,475200,300000,175200,tuesday,W
Mount Road ATM,24/05/2016,75,43,32,304000,207000,97000,tuesday,W
KK Nagar ATM,24/05/2016,132,87,45,613600,403700,209900,tuesday,W
Christ College ATM,24/05/2016,12,9,3,61600,48100,13500,tuesday,W
Big Street ATM,25/05/2016,127,49,78,456400,248200,208200,wednesday,W
Mount Road ATM,25/05/2016,46,24,22,256500,183000,73500,wednesday,W
KK Nagar ATM,25/05/2016,110,94,16,794100,754000,40100,wednesday,W
Christ College ATM,25/05/2016,64,33,31,295400,195600,99800,wednesday,W
Big Street ATM,26/05/2016,118,25,93,337600,87400,250200,thursday,W
Mount Road ATM,26/05/2016,36,18,18,172500,86000,86500,thursday,W
KK Nagar ATM,26/05/2016,155,118,37,1034500,849300,185200,thursday,W
Christ College ATM,26/05/2016,105,44,61,567800,271900,295900,thursday,W
Big Street ATM,27/05/2016,86,35,51,321300,190100,131200,friday,W
Mount Road ATM,27/05/2016,47,25,22,185500,118500,67000,friday,W
KK Nagar ATM,27/05/2016,77,55,22,484500,396500,88000,friday,W
Christ College ATM,27/05/2016,101,46,55,494200,264200,230000,friday,W
Big Street ATM,28/05/2016,79,34,45,294200,145400,148800,saturday,H
KK Nagar ATM,28/05/2016,137,83,54,796800,462800,334000,saturday,H
Christ College ATM,28/05/2016,100,45,55,416800,233400,183400,saturday,H
Big Street ATM,29/05/2016,125,46,79,485800,272800,213000,sunday,H
KK Nagar ATM,29/05/2016,90,69,21,435800,351000,84800,sunday,H
Big Street ATM,30/05/2016,107,34,73,434900,169000,265900,monday,W
Airport ATM,30/05/2016,18,13,5,80500,40500,40000,monday,W
KK Nagar ATM,30/05/2016,96,73,23,652300,533500,118800,monday,W
Christ College ATM,30/05/2016,124,51,73,669500,341200,328300,monday,W
Big Street ATM,31/05/2016,142,43,99,555000,210100,344900,tuesday,W
KK Nagar ATM,31/05/2016,16,10,6,29600,12600,17000,tuesday,W
Christ College ATM,31/05/2016,158,90,68,811000,504600,306400,tuesday,W
Big Street ATM,01/06/2016,171,41,130,796800,258500,538300,wednesday,W
Mount Road ATM,01/06/2016,15,15,0,105100,105100,0,wednesday,W
KK Nagar ATM,01/06/2016,174,123,51,835900,587300,248600,wednesday,W
Christ College ATM,01/06/2016,173,59,114,999100,351100,648000,wednesday,W
Big Street ATM,02/06/2016,157,39,118,728200,173900,554300,thursday,W
Mount Road ATM,02/06/2016,82,73,9,558800,527300,31500,thursday,W
KK Nagar ATM,02/06/2016,67,46,21,294200,208800,85400,thursday,W
Christ College ATM,02/06/2016,198,79,119,1214200,562200,652000,thursday,W
Big Street ATM,03/06/2016,167,59,108,562800,270600,292200,friday,W
Mount Road ATM,03/06/2016,1,1,0,3500,3500,0,friday,W
Airport ATM,03/06/2016,3,3,0,2600,2600,0,friday,W
KK Nagar ATM,03/06/2016,63,47,16,280000,212800,67200,friday,W
Christ College ATM,03/06/2016,98,45,53,501800,266600,235200,friday,W
Big Street ATM,04/06/2016,160,44,116,661600,203900,457700,saturday,H
Mount Road ATM,04/06/2016,19,19,0,145500,145500,0,saturday,H
KK Nagar ATM,04/06/2016,110,69,41,508000,369800,138200,saturday,H
Christ College ATM,04/06/2016,130,57,73,754300,365500,388800,saturday,H
Big Street ATM,05/06/2016,173,39,134,670700,156100,514600,sunday,H
Mount Road ATM,05/06/2016,11,11,0,60600,60600,0,sunday,H
KK Nagar ATM,05/06/2016,126,92,34,644500,445800,198700,sunday,H
Christ College ATM,05/06/2016,165,70,95,644500,285600,358900,sunday,H
Big Street ATM,06/06/2016,150,40,110,627500,255800,371700,monday,W
Mount Road ATM,06/06/2016,2,2,0,700,700,0,monday,W
Airport ATM,06/06/2016,4,3,1,21900,21000,900,monday,W
KK Nagar ATM,06/06/2016,132,100,32,848900,680400,168500,monday,W
Christ College ATM,06/06/2016,48,18,30,193100,105500,87600,monday,W
Big Street ATM,07/06/2016,127,40,87,488800,152400,336400,tuesday,W
KK Nagar ATM,07/06/2016,129,97,32,773500,665600,107900,tuesday,W
Christ College ATM,07/06/2016,65,39,26,411600,295900,115700,tuesday,W
Big Street ATM,08/06/2016,163,43,120,697100,262000,435100,wednesday,W
KK Nagar ATM,08/06/2016,72,60,12,324500,291100,33400,wednesday,W
Christ College ATM,08/06/2016,181,93,88,919000,631200,287800,wednesday,W
Big Street ATM,09/06/2016,167,50,117,702400,293200,409200,thursday,W
KK Nagar ATM,09/06/2016,57,42,15,231500,184500,47000,thursday,W
Christ College ATM,09/06/2016,160,68,92,915700,522000,393700,thursday,W
Big Street ATM,10/06/2016,115,23,92,412000,145700,266300,friday,W
Mount Road ATM,10/06/2016,28,18,10,77500,47000,30500,friday,W
Airport ATM,10/06/2016,34,29,5,127100,123700,3400,friday,W
KK Nagar ATM,10/06/2016,69,55,14,350200,285400,64800,friday,W
Christ College ATM,10/06/2016,146,64,82,642600,353400,289200,friday,W
Big Street ATM,11/06/2016,96,23,73,355900,120300,235600,saturday,H
Airport ATM,11/06/2016,79,58,21,524800,442100,82700,saturday,H
KK Nagar ATM,11/06/2016,95,69,26,550800,416300,134500,saturday,H
Christ College ATM,11/06/2016,14,7,7,61500,28500,33000,saturday,H
Big Street ATM,12/06/2016,121,30,91,437500,190400,247100,sunday,H
Airport ATM,12/06/2016,29,20,9,152300,135400,16900,sunday,H
KK Nagar ATM,12/06/2016,131,99,32,502100,412300,89800,sunday,H
Big Street ATM,13/06/2016,124,45,79,431800,242700,189100,monday,W
Mount Road ATM,13/06/2016,27,19,8,133000,118500,14500,monday,W
Airport ATM,13/06/2016,41,26,15,220200,150500,69700,monday,W
KK Nagar ATM,13/06/2016,96,65,31,528900,423200,105700,monday,W
Christ College ATM,13/06/2016,144,73,71,663800,368900,294900,monday,W
Big Street ATM,14/06/2016,104,43,61,436200,277600,158600,tuesday,W
Mount Road ATM,14/06/2016,5,4,1,28000,18000,10000,tuesday,W
Airport ATM,14/06/2016,51,40,11,301600,279100,22500,tuesday,W
KK Nagar ATM,14/06/2016,41,27,14,277200,232500,44700,tuesday,W
Christ College ATM,14/06/2016,136,74,62,718800,470600,248200,tuesday,W
Big Street ATM,15/06/2016,131,39,92,499300,196600,302700,wednesday,W
Mount Road ATM,15/06/2016,10,10,0,50800,50800,0,wednesday,W
Airport ATM,15/06/2016,63,45,18,276800,216000,60800,wednesday,W
KK Nagar ATM,15/06/2016,47,35,12,291500,231100,60400,wednesday,W
Christ College ATM,15/06/2016,138,69,69,743600,459900,283700,wednesday,W
Big Street ATM,16/06/2016,117,32,85,386200,157200,229000,thursday,W
Mount Road ATM,16/06/2016,20,17,3,181400,152400,29000,thursday,W
Airport ATM,16/06/2016,71,54,17,387600,319300,68300,thursday,W
KK Nagar ATM,16/06/2016,89,65,24,574600,486600,88000,thursday,W
Christ College ATM,16/06/2016,175,80,95,869500,495700,373800,thursday,W
Big Street ATM,17/06/2016,114,24,90,371300,105700,265600,friday,W
Mount Road ATM,17/06/2016,29,12,17,93500,37000,56500,friday,W
Airport ATM,17/06/2016,58,44,14,267300,251000,16300,friday,W
KK Nagar ATM,17/06/2016,109,83,26,895100,778400,116700,friday,W
Christ College ATM,17/06/2016,103,50,53,538400,363000,175400,friday,W
Big Street ATM,18/06/2016,119,28,91,312900,107400,205500,saturday,H
Mount Road ATM,18/06/2016,6,3,3,84000,55000,29000,saturday,H
Airport ATM,18/06/2016,50,42,8,317000,295500,21500,saturday,H
KK Nagar ATM,18/06/2016,132,104,28,712500,588600,123900,saturday,H
Christ College ATM,18/06/2016,149,81,68,765500,435800,329700,saturday,H
Big Street ATM,19/06/2016,127,26,101,368400,57600,310800,sunday,H
Airport ATM,19/06/2016,52,45,7,311600,294500,17100,sunday,H
KK Nagar ATM,19/06/2016,139,112,27,517300,384100,133200,sunday,H
Christ College ATM,19/06/2016,124,44,80,615500,303100,312400,sunday,H
Big Street ATM,20/06/2016,103,27,76,345500,150600,194900,monday,W
Airport ATM,20/06/2016,75,62,13,457200,404500,52700,monday,W
KK Nagar ATM,20/06/2016,83,61,22,580700,472900,107800,monday,W
Christ College ATM,20/06/2016,137,77,60,762800,482600,280200,monday,W
Big Street ATM,21/06/2016,112,36,76,418400,183600,234800,tuesday,W
Airport ATM,21/06/2016,43,32,11,194900,169900,25000,tuesday,W
KK Nagar ATM,21/06/2016,93,64,29,576100,428500,147600,tuesday,W
Christ College ATM,21/06/2016,121,64,57,564800,372000,192800,tuesday,W
Big Street ATM,22/06/2016,114,35,79,470600,256600,214000,wednesday,W
Airport ATM,22/06/2016,22,12,10,120600,70900,49700,wednesday,W
KK Nagar ATM,22/06/2016,124,95,29,752700,642700,110000,wednesday,W
Christ College ATM,22/06/2016,101,59,42,605100,442800,162300,wednesday,W
Big Street ATM,23/06/2016,116,39,77,440000,202000,238000,thursday,W
Airport ATM,23/06/2016,46,33,13,187500,124800,62700,thursday,W
KK Nagar ATM,23/06/2016,108,66,42,621100,405800,215300,thursday,W
Christ College ATM,23/06/2016,125,70,55,612800,454200,158600,thursday,W
Big Street ATM,24/06/2016,90,22,68,302900,127300,175600,friday,W
Airport ATM,24/06/2016,45,37,8,217800,188100,29700,friday,W
KK Nagar ATM,24/06/2016,99,76,23,684300,572000,112300,friday,W
Christ College ATM,24/06/2016,135,71,64,681600,447600,234000,friday,W
Big Street ATM,25/06/2016,62,21,41,191000,70600,120400,saturday,H
Mount Road ATM,25/06/2016,22,13,9,100000,73500,26500,saturday,H
Airport ATM,25/06/2016,51,39,12,230400,188500,41900,saturday,H
KK Nagar ATM,25/06/2016,90,68,22,533800,452400,81400,saturday,H
Christ College ATM,25/06/2016,140,83,57,862300,696500,165800,saturday,H
Big Street ATM,26/06/2016,119,28,91,384400,133100,251300,sunday,H
Airport ATM,26/06/2016,51,36,15,170700,135600,35100,sunday,H
KK Nagar ATM,26/06/2016,145,95,50,615800,392900,222900,sunday,H
Christ College ATM,26/06/2016,122,45,77,447200,150700,296500,sunday,H
Big Street ATM,27/06/2016,92,33,59,354500,182300,172200,monday,W
Airport ATM,27/06/2016,110,82,28,688600,585900,102700,monday,W
KK Nagar ATM,27/06/2016,25,16,9,103500,69700,33800,monday,W
Christ College ATM,27/06/2016,125,67,58,614600,442800,171800,monday,W
Big Street ATM,28/06/2016,66,22,44,258200,153500,104700,tuesday,W
Mount Road ATM,28/06/2016,15,6,9,43000,15000,28000,tuesday,W
Airport ATM,28/06/2016,23,18,5,148300,131700,16600,tuesday,W
KK Nagar ATM,28/06/2016,101,82,19,666600,577300,89300,tuesday,W
Christ College ATM,28/06/2016,125,68,57,519400,367200,152200,tuesday,W
Big Street ATM,29/06/2016,96,28,68,398300,184900,213400,wednesday,W
Mount Road ATM,29/06/2016,1,1,0,2500,2500,0,wednesday,W
Airport ATM,29/06/2016,36,29,7,211200,162000,49200,wednesday,W
KK Nagar ATM,29/06/2016,97,79,18,675500,636200,39300,wednesday,W
Christ College ATM,29/06/2016,129,49,80,649100,346200,302900,wednesday,W
Big Street ATM,30/06/2016,27,11,16,103800,61800,42000,thursday,W
Airport ATM,30/06/2016,98,72,26,561300,469200,92100,thursday,W
KK Nagar ATM,30/06/2016,69,50,19,489400,398000,91400,thursday,W
Christ College ATM,30/06/2016,136,69,67,648900,397300,251600,thursday,W
Big Street ATM,01/07/2016,42,15,27,205300,102900,102400,friday,W
Airport ATM,01/07/2016,44,36,8,369700,337200,32500,friday,W
KK Nagar ATM,01/07/2016,103,75,28,602900,475000,127900,friday,W
Christ College ATM,01/07/2016,165,66,99,1155400,524400,631000,friday,W
Big Street ATM,02/07/2016,75,16,59,285100,72100,213000,saturday,H
Airport ATM,02/07/2016,23,19,4,175400,148300,27100,saturday,H
KK Nagar ATM,02/07/2016,132,96,36,851600,677200,174400,saturday,H
Christ College ATM,02/07/2016,202,55,147,1056900,342500,714400,saturday,H
Big Street ATM,03/07/2016,126,27,99,508100,171400,336700,sunday,H
Airport ATM,03/07/2016,38,28,10,244300,188800,55500,sunday,H
KK Nagar ATM,03/07/2016,109,78,31,594700,475100,119600,sunday,H
Big Street ATM,04/07/2016,92,24,68,458900,194300,264600,monday,W
Mount Road ATM,04/07/2016,20,12,8,80500,67500,13000,monday,W
Airport ATM,04/07/2016,57,43,14,395600,336300,59300,monday,W
KK Nagar ATM,04/07/2016,105,74,31,610400,417000,193400,monday,W
Christ College ATM,04/07/2016,187,81,106,1007800,486900,520900,monday,W
Big Street ATM,05/07/2016,60,20,40,160000,69700,90300,tuesday,W
Mount Road ATM,05/07/2016,84,44,40,531000,357500,173500,tuesday,W
Airport ATM,05/07/2016,38,25,13,151000,98700,52300,tuesday,W
KK Nagar ATM,05/07/2016,98,74,24,673900,547000,126900,tuesday,W
Christ College ATM,05/07/2016,164,86,78,765800,462800,303000,tuesday,W
Mount Road ATM,06/07/2016,13,9,4,52500,47500,5000,wednesday,W
Airport ATM,06/07/2016,51,38,13,332300,276600,55700,wednesday,W
KK Nagar ATM,06/07/2016,90,67,23,593800,502700,91100,wednesday,W
Christ College ATM,06/07/2016,184,80,104,1207600,633400,574200,wednesday,W
Big Street ATM,07/07/2016,79,20,59,289400,89300,200100,thursday,H
Mount Road ATM,07/07/2016,66,23,43,252000,117000,135000,thursday,H
KK Nagar ATM,07/07/2016,164,126,38,1165800,991100,174700,thursday,H
Christ College ATM,07/07/2016,184,61,123,762700,313200,449500,thursday,H
Big Street ATM,08/07/2016,49,18,31,232600,117400,115200,friday,W
Mount Road ATM,08/07/2016,1,0,1,500,0,500,friday,W
Airport ATM,08/07/2016,47,35,12,240200,167400,72800,friday,W
KK Nagar ATM,08/07/2016,116,90,26,581700,487800,93900,friday,W
Christ College ATM,08/07/2016,189,77,112,1062900,547800,515100,friday,W
Big Street ATM,09/07/2016,138,36,102,402200,141400,260800,saturday,H
Airport ATM,09/07/2016,55,36,19,448300,351800,96500,saturday,H
KK Nagar ATM,09/07/2016,6,6,0,33600,33600,0,saturday,H
Christ College ATM,09/07/2016,121,61,60,745300,447300,298000,saturday,H
Big Street ATM,10/07/2016,142,33,109,502000,155600,346400,sunday,H
Airport ATM,10/07/2016,24,21,3,107900,95400,12500,sunday,H
KK Nagar ATM,10/07/2016,146,117,29,714300,587700,126600,sunday,H
Big Street ATM,11/07/2016,117,32,85,477900,226100,251800,monday,W
Mount Road ATM,11/07/2016,12,7,5,94500,68500,26000,monday,W
KK Nagar ATM,11/07/2016,53,36,17,279500,198300,81200,monday,W
Christ College ATM,11/07/2016,130,55,75,556800,306500,250300,monday,W
Big Street ATM,12/07/2016,127,47,80,609600,341600,268000,tuesday,W
Mount Road ATM,12/07/2016,39,23,16,265500,192000,73500,tuesday,W
KK Nagar ATM,12/07/2016,36,30,6,274200,247500,26700,tuesday,W
Christ College ATM,12/07/2016,120,75,45,585100,454100,131000,tuesday,W
Big Street ATM,13/07/2016,78,17,61,268800,45600,223200,wednesday,W
Mount Road ATM,13/07/2016,1,1,0,500,500,0,wednesday,W
KK Nagar ATM,13/07/2016,15,11,4,36600,20900,15700,wednesday,W
Christ College ATM,13/07/2016,227,90,137,1031200,539200,492000,wednesday,W
Big Street ATM,14/07/2016,134,58,76,516300,333400,182900,thursday,W
KK Nagar ATM,14/07/2016,2,2,0,14700,14700,0,thursday,W
Christ College ATM,14/07/2016,165,54,111,922500,377300,545200,thursday,W
Big Street ATM,15/07/2016,133,30,103,425400,159700,265700,friday,W
KK Nagar ATM,15/07/2016,62,46,16,292500,222200,70300,friday,W
Christ College ATM,15/07/2016,152,72,80,783700,465200,318500,friday,W
Big Street ATM,16/07/2016,67,17,50,241800,59200,182600,saturday,H
KK Nagar ATM,16/07/2016,48,25,23,230200,140000,90200,saturday,H
Christ College ATM,16/07/2016,132,65,67,780300,477100,303200,saturday,H
Big Street ATM,17/07/2016,8,3,5,32700,4700,28000,sunday,H
Mount Road ATM,17/07/2016,38,15,23,98000,60000,38000,sunday,H
KK Nagar ATM,17/07/2016,6,5,1,21100,20600,500,sunday,H
Christ College ATM,17/07/2016,123,68,55,434200,317700,116500,sunday,H
Big Street ATM,18/07/2016,81,26,55,315400,117600,197800,monday,W
Mount Road ATM,18/07/2016,86,64,22,420400,341400,79000,monday,W
Airport ATM,18/07/2016,34,25,9,159300,140500,18800,monday,W
KK Nagar ATM,18/07/2016,52,42,10,193600,175100,18500,monday,W
Christ College ATM,18/07/2016,192,58,134,974100,440800,533300,monday,W
Big Street ATM,19/07/2016,90,27,63,322500,161500,161000,tuesday,W
Mount Road ATM,19/07/2016,91,60,31,481900,388400,93500,tuesday,W
Airport ATM,19/07/2016,74,61,13,431800,380700,51100,tuesday,W
KK Nagar ATM,19/07/2016,108,83,25,629600,492600,137000,tuesday,W
Christ College ATM,19/07/2016,195,77,118,961200,494500,466700,tuesday,W
Big Street ATM,20/07/2016,100,25,75,327800,147600,180200,wednesday,W
Mount Road ATM,20/07/2016,91,59,32,419000,327500,91500,wednesday,W
Airport ATM,20/07/2016,55,47,8,308700,303100,5600,wednesday,W
KK Nagar ATM,20/07/2016,86,69,17,458700,397300,61400,wednesday,W
Christ College ATM,20/07/2016,163,62,101,818800,425800,393000,wednesday,W
Big Street ATM,21/07/2016,47,15,32,113500,64700,48800,thursday,W
Mount Road ATM,21/07/2016,19,5,14,45500,6500,39000,thursday,W
Airport ATM,21/07/2016,7,6,1,19700,12700,7000,thursday,W
KK Nagar ATM,21/07/2016,47,35,12,221600,164600,57000,thursday,W
Christ College ATM,21/07/2016,168,74,94,593300,306100,287200,thursday,W
Big Street ATM,22/07/2016,68,20,48,202300,89300,113000,friday,W
Mount Road ATM,22/07/2016,78,52,26,440100,346600,93500,friday,W
Airport ATM,22/07/2016,54,41,13,300100,254800,45300,friday,W
KK Nagar ATM,22/07/2016,57,41,16,275400,214300,61100,friday,W
Christ College ATM,22/07/2016,138,76,62,665300,501100,164200,friday,W
Big Street ATM,23/07/2016,24,9,15,41800,20700,21100,saturday,H
Mount Road ATM,23/07/2016,115,59,56,455000,291500,163500,saturday,H
Airport ATM,23/07/2016,49,39,10,378200,342300,35900,saturday,H
KK Nagar ATM,23/07/2016,98,59,39,478500,235100,243400,saturday,H
